                   TIME, FPDO_Energy (14.50 MeV), FPDO_Energy (17.63 MeV), FPDO_Energy (20.69 MeV), FPDO_Energy (24.62 MeV), FPDO_Energy (29.31 MeV), FPDO_Energy (36.44 MeV), FPDO_Energy (44.33 MeV), FPDO_Energy (56.33 MeV), FPDO_Energy (73.16 MeV), FPDO_Energy (89.00 MeV),FPDO_Energy (116.40 MeV),FPDO_Energy (146.88 MeV),FPDO_Energy (194.00 MeV),FPDO Quality,FEDO_Energy (0.65 MeV),FEDO_Energy (0.73 MeV),FEDO_Energy (0.83 MeV),FEDO_Energy (0.93 MeV),FEDO_Energy (1.06 MeV),FEDO_Energy (1.19 MeV),FEDO_Energy (1.35 MeV),FEDO_Energy (1.52 MeV),FEDO_Energy (1.71 MeV),FEDO_Energy (1.93 MeV),FEDO Quality
2005-12-29T00:00:34.187,              1.0835E-01,              8.5969E-02,              5.1462E-02,              3.9125E-02,              3.1319E-02,              2.2938E-02,              1.5981E-02,              8.3020E-03,              4.1646E-03,              2.5940E-03,              1.8256E-03,              1.3482E-03,              9.9754E-04,         5.0,            4.8767E+01,            3.0145E+01,            1.6209E+01,            9.1801E+00,            5.8248E+00,            4.6772E+00,            3.7034E+00,            2.9548E+00,            2.2561E+00,            1.9641E+00,         5.0
2005-12-29T00:04:33.687,              1.1205E-01,              8.8926E-02,              6.0132E-02,              4.6854E-02,              3.5086E-02,              2.6275E-02,              1.8410E-02,              9.1382E-03,              4.6512E-03,              2.8545E-03,              2.0094E-03,              1.5047E-03,              1.1354E-03,         5.0,            7.3309E+01,            4.0489E+01,            2.3273E+01,            1.1872E+01,            7.6834E+00,            6.1641E+00,            4.8771E+00,            3.8892E+00,            2.9682E+00,            2.5833E+00,         5.0
2005-12-29T00:08:33.687,              1.1075E-01,              8.7895E-02,              5.3858E-02,              4.0284E-02,              3.1351E-02,              2.2767E-02,              1.5744E-02,              8.0918E-03,              3.9963E-03,              2.4234E-03,              1.7016E-03,              1.2695E-03,              9.5265E-04,         5.0,            9.2077E+01,            5.1139E+01,            2.9663E+01,            1.5333E+01,            6.0801E+00,            4.8736E+00,            3.8534E+00,            3.0712E+00,            2.3430E+00,            2.0386E+00,         5.0
2005-12-29T00:12:33.687,              1.2807E-01,              1.0164E-01,              6.5664E-02,              4.9141E-02,              3.8305E-02,              2.7302E-02,              1.8974E-02,              9.9022E-03,              4.8849E-03,              3.0295E-03,              2.1169E-03,              1.5448E-03,              1.1368E-03,         5.0,            3.4844E+01,            1.7348E+01,            7.5582E+00,            6.2889E+00,            5.6356E+00,            4.5303E+00,            3.5902E+00,            2.8666E+00,            2.1899E+00,            1.9073E+00,         5.0
2005-12-29T00:16:33.688,              9.4339E-02,              7.4852E-02,              4.7427E-02,              3.7316E-02,              3.0108E-02,              2.3208E-02,              1.6506E-02,              8.3194E-03,              4.2276E-03,              2.7268E-03,              1.9404E-03,              1.4297E-03,              1.0585E-03,         5.0,            4.6596E+01,            2.8981E+01,            1.5506E+01,            9.0097E+00,            5.9343E+00,            4.7683E+00,            3.7775E+00,            3.0152E+00,            2.3029E+00,            2.0054E+00,         5.0
2005-12-29T00:20:34.188,              1.3398E-01,              1.0632E-01,              6.2709E-02,              4.7011E-02,              3.5584E-02,              2.3475E-02,              1.5594E-02,              8.8102E-03,              4.4159E-03,              2.7186E-03,              1.9209E-03,              1.4254E-03,              1.0640E-03,         5.0,            3.6811E+01,            2.2242E+01,            1.1881E+01,            6.7804E+00,            6.0730E+00,            4.8797E+00,            3.8657E+00,            3.0856E+00,            2.3566E+00,            2.0521E+00,         5.0
2005-12-29T00:24:29.188,              1.5047E-01,              1.1942E-01,              7.6886E-02,              5.5592E-02,              4.1972E-02,              2.9519E-02,              2.0141E-02,              1.0624E-02,              5.2119E-03,              3.0665E-03,              2.1007E-03,              1.5330E-03,              1.1295E-03,         5.0,            9.3763E+01,            5.0055E+01,            2.6354E+01,            1.0588E+01,            5.7989E+00,            4.6598E+00,            3.6918E+00,            2.9472E+00,            2.2512E+00,            1.9605E+00,         5.0
2005-12-29T00:28:29.688,              1.5174E-01,              1.2041E-01,              7.5241E-02,              5.5596E-02,              4.2486E-02,              3.0036E-02,              2.0685E-02,              1.0923E-02,              5.3968E-03,              3.2596E-03,              2.2575E-03,              1.6498E-03,              1.2178E-03,         5.0,            9.2420E+01,            4.9267E+01,            2.5853E+01,            1.0288E+01,            6.7904E+00,            5.4479E+00,            4.3107E+00,            3.4376E+00,            2.6237E+00,            2.2835E+00,         5.0
2005-12-29T00:32:29.688,              1.2208E-01,              9.6886E-02,              6.2019E-02,              4.6038E-02,              3.4842E-02,              2.5392E-02,              1.7967E-02,              9.2385E-03,              4.5988E-03,              2.8314E-03,              1.9814E-03,              1.4635E-03,              1.0893E-03,         5.0,            7.7332E+01,            4.1173E+01,            2.1576E+01,            8.5946E+00,            6.0207E+00,            4.8404E+00,            3.8364E+00,            3.0635E+00,            2.3405E+00,            2.0386E+00,         5.0
2005-12-29T00:36:29.688,              1.0880E-01,              8.6364E-02,              5.9980E-02,              4.5223E-02,              3.5589E-02,              2.4862E-02,              1.7155E-02,              8.9436E-03,              4.4530E-03,              2.8231E-03,              2.0071E-03,              1.4874E-03,              1.1042E-03,         5.0,            4.0186E+01,            2.4675E+01,            1.3237E+01,            7.4106E+00,            6.1846E+00,            4.9622E+00,            3.9265E+00,            3.1313E+00,            2.3899E+00,            2.0801E+00,         5.0
